Comparing "summit_gnu_cmake_128node_6ppn_6gpn_box-s2v96w64x1120y32z24_s2v4w32x1y1z3_bk1_cuth-pop-20200624-ht/20200716_171649/stdout.txt.xz" and "summit_gnu_gmake_128node_42ppn_0gpn_box-s2v96w64x1120y32z24_s2v4w32x7y1z3_bk0_master-202006pop-ht/20200715_165112/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
            dApardt                    4     192      0.00     0.00      0.0     0.0    0.0   0.0
            dchidxy                    4     192      0.05     0.10      0.0     0.0    0.1   6.2
            dfdxy_h                    4     192      0.00     0.06      0.0     0.0    0.0   3.4
            dgdxy                      4     192     15.03     0.12     10.5     0.0   43.4   6.8
            dzv_ak                     4     192      7.70     0.22      5.4     0.1   22.3  13.3
            fdi_fld                    4     192      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_g                      4     192      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_h                      4     192      0.00     0.00      0.0     0.0    0.0   0.0
            ffld_nl                    4     192      0.00     0.00      0.0     0.0    0.0   0.0
            fg_nl                      4     192      0.00     0.00      0.0     0.0    0.0   0.0
            hypz_cmp                   4     192      0.01     0.07      0.0     0.0    0.0   4.4
            kBuffer                    4     192      0.00     0.02      0.0     0.0    0.0   1.1
            pfld_nl                    4     192      0.00     0.00      0.0     0.0    0.0   0.0
            pr_fld                     4       4      0.00     0.00      0.0     0.0    0.0   0.0
            pr_g                       4       4      0.00     0.00      0.0     0.0    0.0   0.0
            pr_hf                      4       4      0.00     0.00      0.0     0.0    0.0   0.0
            prdi_fld                   4     192      0.06     0.05      0.0     0.0    0.2   3.0
              ex_x                     4     192      0.00     0.01      0.0     0.0    0.0  24.0
                ex_gen                 4     192      0.00     0.01      0.0     0.0    0.0 100.0
            prdi_g                     4     192      7.74     0.03      5.4     0.0   22.4   1.9
              blex_g                   4     192      7.74     0.03      5.4     0.0  100.0 100.0
                ex_x                   4     192      0.00     0.01      0.0     0.0    0.0  15.6
                  ex_gen               4     192      0.00     0.01      0.0     0.0    0.0 100.0
            prdi_h                     4     192      0.08     0.04      0.1     0.0    0.2   2.4
              blex_g                   4     192      0.08     0.04      0.1     0.0  100.0  97.5
                ex_x                   4     192      0.00     0.02      0.0     0.0    0.0  41.0
                  ex_gen               4     192      0.00     0.01      0.0     0.0    0.0  93.8
            prg_nl                     4     192      0.00     0.00      0.0     0.0    0.0   0.0
          add_ks                       4       0      0.00     0.00      0.0     0.0    0.0   0.0
          calcaux                      4       4     35.30     0.84     24.7     0.3   45.6  31.6
            bar_emf                    4       4      0.21     0.05      0.1     0.0    0.6   6.3
              ex_z                     4       0      0.20     0.00      0.1     0.0   97.6   0.0
              exz                      0       8      0.00     0.01      0.0     0.0    0.0  22.6
                ex_gen                 0       8      0.00     0.01      0.0     0.0    0.0 100.0
            calc_df1                   4       4      0.05     0.19      0.0     0.1    0.1  22.5
              ex_v                     4       4      0.02     0.03      0.0     0.0   35.3  15.4
                ex_gen                 0       8      0.00     0.03      0.0     0.0    0.0 100.0
              ex_z                     4       0      0.03     0.00      0.0     0.0   60.8   0.0
              exz                      0       4      0.00     0.09      0.0     0.0    0.0  50.0
                ex_gen                 0       4      0.00     0.09      0.0     0.0    0.0  91.5
            ccdens                     4       4     34.30     0.23     24.0     0.1   97.2  27.8
              calc_moments             0       4      0.00     0.08      0.0     0.0    0.0  34.3
              sum_vwsp                 4       4     33.94     0.15     23.7     0.1   99.0  65.2
            f_to_GPU                   4       0      0.00     0.00      0.0     0.0    0.0   0.0
            fldsolve                   4       4      0.68     0.23      0.5     0.1    1.9  27.8
              fldgathi                 8       0      0.00     0.00      0.0     0.0    0.4   0.0
              fldgathw                 4       0      0.66     0.00      0.5     0.0   97.6   0.0
            h_from_f                   4       4      0.06     0.13      0.0     0.0    0.2  15.5
              exz                      0       8      0.00     0.00      0.0     0.0    0.0   1.5
                ex_gen                 0       8      0.00     0.00      0.0     0.0    0.0  50.0
          eRK_stage_1                  1       0      4.44     0.00      3.1     0.0    5.7   0.0
          eRK_stage_2                  1       0     43.58     0.00     30.5     0.0   56.3   0.0
          eRK_stage_3                  1       0     19.61     0.00     13.7     0.0   25.3   0.0
          eRK_stage_4                  1       0      9.81     0.00      6.9     0.0   12.7   0.0
          f_to_GPU                     4       0      0.00     0.00      0.0     0.0    0.0   0.0
          g_to_GPU                     8       0      0.00     0.00      0.0     0.0    0.0   0.0
          h_to_GPU                     4       0      0.06     0.00      0.0     0.0    0.1   0.0
          rhs_to_GPU                   4       0      0.00     0.00      0.0     0.0    0.0   0.0
          rkupd                        3       0      7.50     0.00      5.2     0.0    9.7   0.0
      ts2to5                           4       4     17.95    10.66     12.6     3.9   12.6   3.9
        RK_standard                    4       4     17.95    10.66     12.6     3.9  100.0 100.0
          CalFRhs0                    16      16      6.09     6.77      4.3     2.5   34.0  63.5
            add_nl                    16     768      5.81     3.89      4.1     1.4   95.3  57.5
              calc_nl                 16     768      0.33     3.76      0.2     1.4    5.6  96.6
                mult_pre               0     768      0.00     0.09      0.0     0.0    0.0   2.5
                omultmax               0    1536      0.00     0.05      0.0     0.0    0.0   1.4
            dApardt                   16     768      0.00     0.00      0.0     0.0    0.0   0.0
            dchidxy                   16     768      0.04     0.42      0.0     0.2    0.6   6.2
            dfdxy_h                   16     768      0.01     0.23      0.0     0.1    0.2   3.4
            dgdxy                     16     768      0.04     0.46      0.0     0.2    0.6   6.8
            dzv_ak                    16     768      0.03     0.89      0.0     0.3    0.5  13.2
            fdi_fld                   16     768      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_g                     16     768      0.00     0.00      0.0     0.0    0.0   0.0
            fdi_h                     16     768      0.00     0.00      0.0     0.0    0.0   0.0
            ffld_nl                   16     768      0.00     0.00      0.0     0.0    0.0   0.0
            fg_nl                     16     768      0.00     0.00      0.0     0.0    0.0   0.0
            hypz_cmp                  16     768      0.01     0.30      0.0     0.1    0.2   4.4
            kBuffer                   16     768      0.01     0.07      0.0     0.0    0.2   1.1
            pfld_nl                   16     768      0.00     0.00      0.0     0.0    0.0   0.0
            pr_fld                    16      16      0.00     0.00      0.0     0.0    0.0   0.0
            pr_g                      16      16      0.00     0.00      0.0     0.0    0.0   0.0
            pr_hf                     16      16      0.00     0.00      0.0     0.0    0.0   0.0
            prdi_fld                  16     768      0.01     0.20      0.0     0.1    0.2   3.0
              ex_x                    16     768      0.00     0.05      0.0     0.0    0.0  24.9
                ex_gen                16     768      0.00     0.05      0.0     0.0    0.0  96.1
            prdi_g                    16     768      0.13     0.13      0.1     0.0    2.1   2.0
              blex_g                  16     768      0.13     0.13      0.1     0.0  100.0  99.2
                ex_x                  16     768      0.12     0.02      0.1     0.0   91.5  16.8
                  ex_gen              16     768      0.00     0.02      0.0     0.0    0.0  90.9
            prdi_h                    16     768      0.01     0.16      0.0     0.1    0.2   2.3
              blex_g                  16     768      0.01     0.16      0.0     0.1  100.0  99.4
                ex_x                  16     768      0.00     0.07      0.0     0.0    0.0  42.3
                  ex_gen              16     768      0.00     0.06      0.0     0.0    0.0  97.0
            prg_nl                    16     768      0.00     0.00      0.0     0.0    0.0   0.0
          add_ks                      16       0      0.01     0.00      0.0     0.0    0.1   0.0
          calcaux                     16      16     11.81     3.40      8.3     1.3   65.8  31.9
            bar_emf                   16      16      0.03     0.23      0.0     0.1    0.3   6.6
              ex_z                    16       0      0.03     0.00      0.0     0.0   76.5   0.0
              exz                      0      32      0.00     0.06      0.0     0.0    0.0  26.7
                ex_gen                 0      32      0.00     0.06      0.0     0.0    0.0 100.0
            calc_df1                  16      16      0.26     0.76      0.2     0.3    2.2  22.3
              ex_v                    16      16      0.19     0.12      0.1     0.0   71.9  16.1
                ex_gen                 0      32      0.00     0.12      0.0     0.0    0.0 100.0
              ex_z                    16       0      0.06     0.00      0.0     0.0   22.8   0.0
              exz                      0      16      0.00     0.38      0.0     0.1    0.0  49.8
                ex_gen                 0      16      0.00     0.34      0.0     0.1    0.0  91.2
            ccdens                    16      16     11.05     0.99      7.7     0.4   93.5  29.1
              calc_moments             0      16      0.00     0.32      0.0     0.1    0.0  31.8
              sum_vwsp                16      16     11.03     0.67      7.7     0.2   99.8  67.6
            f_to_GPU                  16       0      0.00     0.00      0.0     0.0    0.0   0.0
            fldsolve                  16      16      0.44     0.91      0.3     0.3    3.7  26.8
              fldgathi                32       0      0.00     0.00      0.0     0.0    0.9   0.0
              fldgathw                16       0      0.39     0.00      0.3     0.0   89.7   0.0
            h_from_f                  16      16      0.02     0.52      0.0     0.2    0.2  15.2
              exz                      0      32      0.00     0.01      0.0     0.0    0.0   1.4
                ex_gen                 0      32      0.00     0.01      0.0     0.0    0.0  85.7
          eRK_stage_1                  4       0      9.01     0.00      6.3     0.0   50.2   0.0
          eRK_stage_2                  4       0      1.00     0.00      0.7     0.0    5.5   0.0
          eRK_stage_3                  4       0      4.42     0.00      3.1     0.0   24.6   0.0
          eRK_stage_4                  4       0      3.52     0.00      2.5     0.0   19.6   0.0
          f_to_GPU                    16       0      0.00     0.00      0.0     0.0    0.0   0.0
          g_to_GPU                    32       0      0.00     0.00      0.0     0.0    0.0   0.0
          h_to_GPU                    16       0      0.00     0.00      0.0     0.0    0.0   0.0
          rhs_to_GPU                  16       0      0.00     0.00      0.0     0.0    0.0   0.0
          rkupd                       12       0      0.01     0.00      0.0     0.0    0.1   0.0
    timeloop                           1       1    142.92   270.85    100.0   100.0   16.8  15.7
Comparing:  cuth-pop-20200624-ht:128 master-202006pop-ht:128
== ts1   ==
           : 4-ht:128       p-ht:128
ts_avg     :    1.429    2.708 (0.5)
RK_standard:   77.449    2.646 (29.3)
CalFRhs0   :   34.590    1.686 (20.5)
calcaux    :   35.301    0.837 (42.2)

== ts2to5 ==
           : 4-ht:128       p-ht:128
ts_avg     :    1.429    2.708 (0.5)
RK_standard:   17.948   10.664 (1.7)
CalFRhs0   :    6.094    6.769 (0.9)
calcaux    :   11.808    3.400 (3.5)

== ts6+  ==
           : 4-ht:128       p-ht:128
ts_avg     :    1.429    2.708 (0.5)
RK_standard:   39.635  252.541 (0.2)
CalFRhs0   :   13.069  160.145 (0.1)
calcaux    :   25.507   80.621 (0.3)
