Task 1068 ( 1068/3072, 0/6 ) is bound to cpu[s] 0 on host e28n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1069 ( 1069/3072, 1/6 ) is bound to cpu[s] 4 on host e28n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 107 ( 107/3072, 5/6 ) is bound to cpu[s] 96 on host e08n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1070 ( 1070/3072, 2/6 ) is bound to cpu[s] 8 on host e28n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1071 ( 1071/3072, 3/6 ) is bound to cpu[s] 88 on host e28n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1072 ( 1072/3072, 4/6 ) is bound to cpu[s] 92 on host e28n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1073 ( 1073/3072, 5/6 ) is bound to cpu[s] 96 on host e28n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1074 ( 1074/3072, 0/6 ) is bound to cpu[s] 0 on host e28n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1075 ( 1075/3072, 1/6 ) is bound to cpu[s] 4 on host e28n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1076 ( 1076/3072, 2/6 ) is bound to cpu[s] 8 on host e28n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1077 ( 1077/3072, 3/6 ) is bound to cpu[s] 88 on host e28n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1078 ( 1078/3072, 4/6 ) is bound to cpu[s] 92 on host e28n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1079 ( 1079/3072, 5/6 ) is bound to cpu[s] 96 on host e28n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 108 ( 108/3072, 0/6 ) is bound to cpu[s] 0 on host e08n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1080 ( 1080/3072, 0/6 ) is bound to cpu[s] 0 on host e28n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1081 ( 1081/3072, 1/6 ) is bound to cpu[s] 4 on host e28n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1082 ( 1082/3072, 2/6 ) is bound to cpu[s] 8 on host e28n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1083 ( 1083/3072, 3/6 ) is bound to cpu[s] 88 on host e28n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1084 ( 1084/3072, 4/6 ) is bound to cpu[s] 92 on host e28n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1085 ( 1085/3072, 5/6 ) is bound to cpu[s] 96 on host e28n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1086 ( 1086/3072, 0/6 ) is bound to cpu[s] 0 on host e28n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1087 ( 1087/3072, 1/6 ) is bound to cpu[s] 4 on host e28n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1088 ( 1088/3072, 2/6 ) is bound to cpu[s] 8 on host e28n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1089 ( 1089/3072, 3/6 ) is bound to cpu[s] 88 on host e28n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 109 ( 109/3072, 1/6 ) is bound to cpu[s] 4 on host e08n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1090 ( 1090/3072, 4/6 ) is bound to cpu[s] 92 on host e28n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1091 ( 1091/3072, 5/6 ) is bound to cpu[s] 96 on host e28n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
